ANO;PERIODO;REPRESENTANTE;CLIENTE;DATAFATURAMENTO;DATAVENCIMENTO;DATAPAGAMENTO;NOTA;SERIE;FATURA;TIPO;PARCELA;VALOR;VALID_COM;VALOR_COM_2;Processo da Comissao;Estorno Inadimplecia?
20;5;90218;96118;22/05/2020;;;1990791;1;588042;SO;;3883;0,04;155,32;Apuração Faturamento                                                  ; 
20;5;90218;56588;22/05/2020;;;1990790;1;588004;SO;;3883;0,04;155,32;Apuração Faturamento                                                  ; 
20;5;90218;93524;30/05/2020;;;1995558;1;593743;SO;;1604,25;0,04;64,17;Apuração Faturamento                                                  ; 
20;5;90218;95163;27/05/2020;;;1993172;1;589740;SO;;8135,3;0,04;325,412;Apuração Faturamento                                                  ; 
20;5;90218;97804;04/05/2020;;;1985401;1;580408;CO;;-4320,6;0,04;-172,824;Devoluções                                                            ; 
20;5;90218;94304;21/05/2020;;;1990260;1;587296;SO;;1594,8;0,04;63,792;Apuração Faturamento                                                  ; 
20;5;90218;94865;22/05/2020;;;1991028;1;588002;SO;;3932;0,04;157,28;Apuração Faturamento                                                  ; 
20;5;90218;96128;25/05/2020;;;1991625;1;588918;SO;;2376,37;0,04;95,0548;Apuração Faturamento                                                  ; 
20;5;90218;98459;27/05/2020;;;1992869;1;590556;SO;;9004,8;0,04;360,192;Apuração Faturamento                                                  ; 
20;5;90218;98284;27/05/2020;;;1993174;1;590561;SO;;9004,8;0,04;360,192;Apuração Faturamento                                                  ; 
20;5;90218;95123;21/05/2020;;;1990266;1;587376;SO;;4930,42;0,04;197,2168;Apuração Faturamento                                                  ; 
20;5;90218;99075;08/11/2019;07/01/2020;;1856213;1;28776401;RI;2;-601,82;0,04;-24,0728;Desconto Inadimplencia                                                ; 
20;5;90218;99075;12/11/2019;11/01/2020;;1859152;1;28996001;RI;2;-200,31;0,04;-8,0124;Desconto Inadimplencia                                                ; 
20;5;90218;63430;26/05/2020;;;1992403;1;589759;SO;;620,75;0,04;24,83;Apuração Faturamento                                                  ; 
20;5;90218;88913;16/09/2019;14/01/2020;;1806012;1;25120001;RI;4;-702,28;0,04;-28,0912;Desconto Inadimplencia                                                ; 
20;5;90218;98785;13/08/2019;10/01/2020;;1777327;1;23134901;RI;4;-58,85;0,04;-2,354;Desconto Inadimplencia                                                ; 
20;5;90218;98785;18/09/2019;16/01/2020;;1808357;1;25269301;RI;4;-702,28;0,04;-28,0912;Desconto Inadimplencia                                                ; 
20;5;90218;96898;22/05/2020;;;1990947;1;587996;SO;;3981;0,04;159,24;Apuração Faturamento                                                  ; 
20;5;90218;96897;22/05/2020;;;1991027;1;588001;SO;;3932;0,04;157,28;Apuração Faturamento                                                  ; 
